User ID,Age,Gender,Location,Language,Education Level,Likes and Reactions,Followed Accounts,Device Usage,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),Income Level,Top Interests
1,25-34,Female,Suburban,Hindi,Technical,5640,190,Mobile Only,4.5,1.7,19.0,7.0,25,20k-40k,Digital Marketing
2,65+,Male,Urban,Hindi,PhD,9501,375,Tablet,0.5,7.7,11.0,4.0,68,0-20k,Data Science
3,45-54,Female,Suburban,Spanish,Technical,4775,187,Mobile Only,4.5,5.6,15.0,10.0,80,60k-80k,Fitness and Wellness
4,35-44,Female,Rural,Spanish,PhD,9182,152,Desktop Only,3.1,4.2,9.0,6.0,65,100k+,"Gaming, DIY Crafts"
5,25-34,Female,Urban,English,Technical,6848,371,Mobile Only,2.0,3.8,18.0,2.0,99,20k-40k,"Fitness and Wellness, Investing and Finance, Gardening, Music Production"
6,25-34,Female,Suburban,Hindi,Master,6203,257,Mobile + Desktop,3.8,3.3,21.0,5.0,44,100k+,"Gourmet Cooking, Software Engineering, Eco-Friendly Living"
7,18-24,Female,Suburban,Hindi,Bachelor,1573,136,Mobile + Desktop,2.8,7.9,17.0,7.0,8,100k+,"Gardening, Digital Marketing, Music Production"
8,55-64,Male,Suburban,Hindi,PhD,3343,272,Desktop Only,2.7,1.9,13.0,3.0,35,40k-60k,"Music Production, Photography, Gaming, Travel and Adventure"
9,45-54,Female,Urban,Spanish,High School,2281,49,Mobile + Desktop,1.0,3.2,12.0,1.0,159,20k-40k,"Eco-Friendly Living, Gardening"
10,45-54,Male,Rural,Hindi,Bachelor,9741,421,Mobile + Desktop,2.3,4.4,16.0,6.0,157,100k+,"Digital Marketing, Travel and Adventure"
11,18-24,Female,Suburban,English,High School,3196,425,Tablet,1.6,4.3,17.0,10.0,73,0-20k,"Eco-Friendly Living, DIY Crafts, Travel and Adventure, Software Engineering"
12,65+,Male,Suburban,English,Bachelor,6746,364,Desktop Only,0.6,4.3,14.0,5.0,74,20k-40k,"Software Engineering, DIY Crafts"
13,55-64,Male,Suburban,Spanish,Bachelor,9882,264,Tablet,2.1,2.2,16.0,9.0,9,60k-80k,"Software Engineering, Eco-Friendly Living, Gardening, Photography"
14,25-34,Female,Suburban,Mandarin,Technical,5982,152,Tablet,0.9,2.0,2.0,8.0,119,20k-40k,"Gourmet Cooking, Travel and Adventure"
15,25-34,Female,Suburban,Spanish,PhD,6082,249,Mobile Only,1.7,2.8,24.0,2.0,95,20k-40k,"Software Engineering, Digital Marketing"
16,25-34,Female,Rural,Mandarin,PhD,5898,237,Desktop Only,0.9,7.4,20.0,7.0,12,100k+,"Fashion Modelling, Photography, Digital Marketing"
17,25-34,Male,Rural,Hindi,Bachelor,9727,350,Mobile Only,1.0,1.8,9.0,4.0,13,40k-60k,"Eco-Friendly Living, Software Engineering, Fitness and Wellness"
