User ID,Age,Gender,Location,Language,Education Level,Likes and Reactions,Followed Accounts,Device Usage,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),Income Level,Top Interests
30,18-24,Female,Suburban,Hindi,PhD,1453,246,Mobile Only,1.7,7.4,0.232,0.07,85,20k-40k,"Digital Marketing, Software Engineering"
536,55-64,Male,Suburban,English,High School,4731,336,Mobile + Desktop,2.0,1.6,0.161,0.056,121,60k-80k,Fashion Modelling
696,45-54,Female,Suburban,Mandarin,Bachelor,2515,335,Mobile + Desktop,1.7,5.2,0.128,0.071,60,0-20k,"Data Science, Pet Care, Investing and Finance"
558,18-24,Male,Urban,Mandarin,Technical,4593,460,Mobile Only,0.5,7.7,0.018,0.059,22,0-20k,"Gardening, Gaming, Fitness and Wellness, Software Engineering"
837,55-64,Male,Rural,English,Technical,9702,267,Mobile + Desktop,0.6,5.7,0.125,0.072,40,0-20k,"Gardening, Travel and Adventure, Eco-Friendly Living"
597,45-54,Female,Rural,English,Bachelor,9325,366,Mobile + Desktop,2.8,4.3,0.063,0.086,82,60k-80k,"Gardening, Music Production, Pet Care"
166,55-64,Female,Urban,Spanish,Master,5808,224,Mobile + Desktop,3.5,2.0,0.127,0.089,72,40k-60k,"Data Science, DIY Crafts, Reading and Literature"
919,45-54,Male,Suburban,Hindi,Technical,5020,89,Tablet,2.5,4.9,0.186,0.08,168,0-20k,"Pet Care, Photography, Gaming, Data Science"
496,25-34,Male,Rural,English,Bachelor,6101,421,Tablet,1.8,6.4,0.099,0.033,166,40k-60k,Digital Marketing
825,35-44,Female,Urban,Hindi,Technical,2231,495,Mobile Only,4.2,5.9,0.076,0.006,160,80k-100k,Photography
66,35-44,Male,Suburban,Hindi,Bachelor,6356,375,Mobile Only,3.5,7.8,0.129,0.037,83,0-20k,"Investing and Finance, Music Production, Travel and Adventure, DIY Crafts"
142,25-34,Male,Suburban,Spanish,High School,226,361,Tablet,1.4,7.8,0.22,0.064,162,80k-100k,Fitness and Wellness
926,18-24,Female,Suburban,Mandarin,Technical,8401,336,Desktop Only,4.9,2.7,0.228,0.065,83,100k+,"Data Science, DIY Crafts"
828,25-34,Female,Suburban,English,High School,915,200,Tablet,2.3,3.4,0.004,0.054,139,0-20k,"Reading and Literature, Investing and Finance"
656,18-24,Female,Urban,Mandarin,PhD,4178,345,Mobile Only,1.8,3.8,0.23,0.093,141,20k-40k,"Music Production, Photography, Gaming"
332,45-54,Male,Rural,Spanish,Master,5209,66,Desktop Only,1.8,5.8,0.139,0.019,54,60k-80k,"Investing and Finance, Pet Care, Eco-Friendly Living, Fitness and Wellness"
665,18-24,Male,Rural,Hindi,High School,3665,391,Desktop Only,1.8,4.3,0.104,0.069,120,40k-60k,Fashion Modelling
250,55-64,Male,Suburban,Mandarin,Technical,8565,334,Tablet,3.1,2.0,0.025,0.038,52,80k-100k,"Digital Marketing, Data Science, Eco-Friendly Living"
908,25-34,Female,Urban,Spanish,Master,9211,67,Tablet,2.3,6.4,0.138,0.073,85,20k-40k,"Gardening, Gaming, Digital Marketing, Photography"
709,25-34,Female,Suburban,Mandarin,Technical,2248,378,Mobile + Desktop,2.9,4.6,0.069,0.099,175,80k-100k,"Photography, Investing and Finance, Gardening"
306,65+,Female,Rural,Hindi,PhD,1229,104,Mobile + Desktop,3.8,1.7,0.152,0.016,5,40k-60k,"Gourmet Cooking, Fitness and Wellness, Software Engineering, Data Science"
735,25-34,Male,Suburban,Mandarin,Bachelor,1816,309,Mobile + Desktop,2.2,1.6,0.004,0.035,6,0-20k,"Software Engineering, Gourmet Cooking, Music Production"
976,25-34,Male,Rural,Mandarin,High School,104,134,Desktop Only,1.9,2.7,0.181,0.016,61,0-20k,"Reading and Literature, Music Production"
50,25-34,Female,Urban,Mandarin,Technical,6119,99,Desktop Only,2.2,7.8,0.07,0.05,14,60k-80k,"Digital Marketing, Fitness and Wellness, Pet Care, DIY Crafts"
897,25-34,Male,Suburban,Hindi,Bachelor,7098,329,Mobile + Desktop,0.6,1.9,0.195,0.041,168,0-20k,"Eco-Friendly Living, Gourmet Cooking, Fitness and Wellness, Software Engineering"
3,45-54,Female,Suburban,Spanish,Technical,4775,187,Mobile Only,4.5,5.6,0.153,0.095,80,60k-80k,Fitness and Wellness
545,45-54,Female,Urban,Hindi,Bachelor,3705,495,Tablet,2.6,5.5,0.116,0.086,144,40k-60k,Eco-Friendly Living
351,35-44,Female,Suburban,Mandarin,Technical,7137,477,Desktop Only,4.6,6.5,0.227,0.035,105,100k+,"Gourmet Cooking, Data Science, Gaming, DIY Crafts"
905,35-44,Male,Rural,Hindi,Master,7657,257,Desktop Only,3.1,7.5,0.092,0.076,129,100k+,"Music Production, Fitness and Wellness"
537,55-64,Male,Urban,Mandarin,Master,9699,327,Tablet,2.7,3.3,0.069,0.086,30,0-20k,"Eco-Friendly Living, Photography"
345,25-34,Male,Urban,Hindi,Master,1013,332,Mobile + Desktop,2.9,6.5,0.244,0.006,164,60k-80k,"Eco-Friendly Living, Photography, Travel and Adventure"
995,25-34,Female,Urban,Spanish,PhD,8620,221,Mobile Only,1.7,7.9,0.118,0.089,117,40k-60k,"Investing and Finance, Fashion Modelling"
482,45-54,Male,Suburban,Mandarin,PhD,612,209,Mobile + Desktop,2.8,2.3,0.112,0.002,82,80k-100k,Photography
576,55-64,Male,Suburban,English,High School,8783,97,Desktop Only,3.8,1.9,0.069,0.071,91,100k+,"Reading and Literature, Fashion Modelling, Digital Marketing, Music Production"
34,55-64,Male,Urban,English,Technical,1024,470,Tablet,1.9,6.3,0.023,0.062,79,40k-60k,Gaming
32,25-34,Male,Suburban,Spanish,Master,3954,496,Desktop Only,4.7,4.4,0.165,0.049,131,20k-40k,"Fitness and Wellness, Eco-Friendly Living, DIY Crafts"
232,35-44,Male,Suburban,Mandarin,PhD,4676,54,Tablet,2.9,4.6,0.001,0.09,169,0-20k,Reading and Literature
964,25-34,Male,Urban,English,High School,5820,331,Mobile Only,4.9,5.8,0.023,0.095,13,40k-60k,"Fitness and Wellness, Gaming, Pet Care, Music Production"
193,55-64,Female,Urban,English,PhD,1727,461,Desktop Only,3.3,7.0,0.155,0.042,113,100k+,"Pet Care, Music Production, Gardening, Digital Marketing"
334,18-24,Male,Suburban,English,High School,5910,28,Mobile Only,1.8,7.2,0.151,0.094,94,40k-60k,"Music Production, Fashion Modelling, Data Science, Pet Care"
4,35-44,Female,Rural,Spanish,PhD,9182,152,Desktop Only,3.1,4.2,0.093,0.061,65,100k+,"Gaming, DIY Crafts"
205,45-54,Male,Suburban,English,PhD,9390,133,Desktop Only,0.7,5.8,0.248,0.015,77,80k-100k,"Music Production, Gardening"
515,18-24,Male,Rural,English,Technical,6491,194,Mobile Only,1.4,6.0,0.146,0.051,58,80k-100k,"DIY Crafts, Travel and Adventure, Gardening"
800,55-64,Female,Rural,English,Technical,1399,212,Mobile + Desktop,4.3,1.3,0.226,0.031,151,80k-100k,Pet Care
307,35-44,Female,Rural,Mandarin,Bachelor,1705,271,Mobile + Desktop,3.3,1.4,0.117,0.096,90,80k-100k,"Fitness and Wellness, Music Production"
110,18-24,Male,Rural,Spanish,Technical,9381,107,Tablet,2.2,4.7,0.009,0.031,130,80k-100k,"Music Production, Reading and Literature, Photography"
431,18-24,Male,Rural,Hindi,Master,7024,261,Desktop Only,2.6,6.9,0.013,0.095,68,80k-100k,"Software Engineering, Digital Marketing"
78,18-24,Male,Suburban,Mandarin,Technical,9809,333,Tablet,1.8,6.8,0.074,0.091,16,60k-80k,"Gaming, Fitness and Wellness"
85,25-34,Female,Rural,Mandarin,High School,5749,110,Mobile + Desktop,5.0,7.5,0.206,0.024,170,40k-60k,"DIY Crafts, Eco-Friendly Living, Reading and Literature"
287,35-44,Male,Rural,Mandarin,High School,8364,305,Mobile + Desktop,3.6,6.9,0.239,0.005,62,80k-100k,"Fashion Modelling, Gourmet Cooking, Investing and Finance, Reading and Literature"
83,25-34,Female,Rural,Hindi,PhD,3962,114,Tablet,4.6,7.9,0.184,0.07,34,20k-40k,"Fitness and Wellness, Eco-Friendly Living, Reading and Literature"
992,45-54,Female,Suburban,Spanish,Master,7418,112,Mobile Only,3.3,1.1,0.233,0.016,89,80k-100k,"Travel and Adventure, Pet Care"
790,55-64,Male,Suburban,Spanish,Bachelor,7167,269,Desktop Only,4.4,7.3,0.206,0.05,19,60k-80k,"Investing and Finance, Reading and Literature, Music Production"
895,45-54,Female,Suburban,English,High School,9621,126,Tablet,4.7,2.5,0.124,0.025,36,60k-80k,"Gaming, Software Engineering"
399,45-54,Male,Rural,Hindi,PhD,471,438,Mobile Only,1.3,5.9,0.007,0.005,116,0-20k,"Pet Care, Gardening, Data Science"
324,25-34,Female,Urban,English,Bachelor,6426,34,Desktop Only,1.2,7.1,0.045,0.071,159,80k-100k,"Data Science, Gardening, Pet Care"
520,25-34,Male,Suburban,Hindi,High School,5287,117,Mobile + Desktop,1.8,5.1,0.024,0.022,83,40k-60k,"Pet Care, Fitness and Wellness, Music Production"
917,25-34,Female,Urban,Mandarin,Technical,8219,403,Mobile + Desktop,2.7,3.6,0.055,0.013,107,40k-60k,"Gourmet Cooking, Investing and Finance, Fashion Modelling"
923,55-64,Female,Suburban,Hindi,PhD,9613,383,Tablet,4.3,3.9,0.232,0.049,78,40k-60k,"Eco-Friendly Living, Photography, Music Production"
6,25-34,Female,Suburban,Hindi,Master,6203,257,Mobile + Desktop,3.8,3.3,0.209,0.048,44,100k+,"Gourmet Cooking, Software Engineering, Eco-Friendly Living"
732,55-64,Male,Rural,Mandarin,Technical,7953,179,Desktop Only,2.1,3.2,0.105,0.014,171,100k+,"Eco-Friendly Living, Digital Marketing"
466,25-34,Male,Urban,English,Technical,6952,442,Mobile Only,3.5,7.3,0.141,0.061,147,100k+,Fashion Modelling
98,35-44,Female,Urban,English,Technical,2131,316,Tablet,3.5,1.9,0.233,0.026,122,60k-80k,"Photography, Fitness and Wellness, Eco-Friendly Living"
267,45-54,Female,Rural,Mandarin,Bachelor,722,414,Mobile + Desktop,3.7,6.4,0.067,0.01,19,60k-80k,"Pet Care, Gaming"
358,35-44,Female,Urban,Mandarin,Master,7869,448,Mobile Only,1.0,6.9,0.174,0.029,66,20k-40k,"Music Production, Fashion Modelling, Photography, Gourmet Cooking"
869,55-64,Male,Rural,Mandarin,Bachelor,741,153,Tablet,0.6,7.2,0.011,0.071,7,80k-100k,"Fashion Modelling, Data Science, Music Production"
799,45-54,Female,Suburban,Spanish,Technical,6373,451,Desktop Only,3.4,1.1,0.027,0.049,109,80k-100k,"Photography, Digital Marketing, Music Production, DIY Crafts"
381,18-24,Female,Suburban,Spanish,High School,563,440,Mobile Only,0.6,2.8,0.137,0.006,117,0-20k,"Investing and Finance, DIY Crafts, Fitness and Wellness, Gourmet Cooking"
632,55-64,Female,Urban,English,Bachelor,1457,116,Mobile Only,4.2,7.9,0.112,0.093,83,60k-80k,"Reading and Literature, Photography"
382,45-54,Female,Urban,English,Technical,9258,267,Mobile + Desktop,1.8,5.7,0.177,0.078,23,100k+,"Software Engineering, Investing and Finance"
491,35-44,Female,Suburban,Spanish,PhD,7967,13,Mobile + Desktop,1.9,5.7,0.03,0.084,101,0-20k,"Music Production, Data Science, Fashion Modelling, Photography"
119,55-64,Male,Suburban,Mandarin,Master,3886,428,Desktop Only,3.7,1.4,0.193,0.053,75,80k-100k,Travel and Adventure
901,25-34,Female,Urban,Hindi,Technical,2703,380,Mobile Only,4.1,3.0,0.141,0.056,22,100k+,"Fitness and Wellness, Pet Care"
251,25-34,Female,Rural,Spanish,Bachelor,5151,64,Mobile Only,1.0,4.9,0.189,0.059,143,20k-40k,Gourmet Cooking
524,55-64,Male,Urban,Hindi,Bachelor,1920,389,Mobile + Desktop,3.2,7.3,0.238,0.077,107,100k+,"Gourmet Cooking, Gardening, Software Engineering, Gaming"
10,45-54,Male,Rural,Hindi,Bachelor,9741,421,Mobile + Desktop,2.3,4.4,0.161,0.058,157,100k+,"Digital Marketing, Travel and Adventure"
197,45-54,Female,Rural,Spanish,Master,9813,423,Desktop Only,3.3,4.6,0.234,0.047,115,60k-80k,Digital Marketing
604,18-24,Male,Suburban,English,PhD,537,117,Mobile + Desktop,1.9,6.2,0.105,0.048,77,100k+,"Travel and Adventure, Gardening, Digital Marketing"
82,45-54,Female,Rural,English,High School,3036,65,Mobile Only,0.7,2.8,0.185,0.061,90,40k-60k,"Gourmet Cooking, Photography, Software Engineering, Digital Marketing"
784,25-34,Male,Rural,Spanish,PhD,9455,73,Mobile Only,1.8,8.0,0.089,0.026,13,100k+,"Fashion Modelling, DIY Crafts"
588,18-24,Female,Rural,Hindi,Master,6066,286,Tablet,3.2,5.0,0.122,0.031,41,80k-100k,"Data Science, Software Engineering, Eco-Friendly Living"
798,35-44,Female,Rural,Hindi,Bachelor,5599,367,Mobile Only,3.1,2.8,0.103,0.044,153,80k-100k,"Travel and Adventure, Music Production, Photography, Gourmet Cooking"
240,25-34,Male,Rural,English,High School,2168,28,Tablet,1.1,3.1,0.133,0.028,139,20k-40k,"Gourmet Cooking, Pet Care, Eco-Friendly Living"
291,18-24,Male,Suburban,Hindi,Master,9930,156,Mobile Only,3.7,4.9,0.19,0.078,112,20k-40k,"Gardening, Digital Marketing, Travel and Adventure"
212,45-54,Male,Rural,Spanish,Technical,5750,360,Desktop Only,2.8,3.0,0.211,0.068,60,40k-60k,"Gourmet Cooking, Photography, Eco-Friendly Living"
718,65+,Male,Rural,Hindi,Master,7262,248,Tablet,2.6,2.9,0.1,0.013,26,100k+,"Fashion Modelling, Travel and Adventure"
360,35-44,Male,Rural,Mandarin,Master,4761,480,Mobile Only,1.5,4.2,0.173,0.074,141,40k-60k,"Gourmet Cooking, Pet Care"
450,18-24,Male,Suburban,Spanish,Technical,6549,56,Mobile + Desktop,4.0,3.4,0.231,0.089,178,100k+,"Gardening, Pet Care"
228,25-34,Female,Rural,English,Bachelor,7449,46,Mobile Only,4.1,2.1,0.094,0.048,117,0-20k,"Gardening, Investing and Finance, Fitness and Wellness"
951,45-54,Male,Suburban,Spanish,PhD,2235,229,Mobile + Desktop,0.9,3.4,0.245,0.03,135,20k-40k,"Music Production, Pet Care, Investing and Finance"
947,18-24,Male,Urban,Mandarin,High School,4630,444,Desktop Only,4.0,7.9,0.172,0.081,55,40k-60k,"Data Science, Fashion Modelling, Pet Care, Gardening"
797,55-64,Male,Rural,English,PhD,6547,106,Mobile Only,0.8,1.6,0.009,0.016,115,0-20k,"Fitness and Wellness, DIY Crafts, Investing and Finance"
502,35-44,Female,Urban,Spanish,Technical,328,168,Desktop Only,3.2,7.5,0.002,0.041,14,80k-100k,Music Production
465,65+,Male,Rural,Spanish,High School,1651,176,Desktop Only,2.3,4.9,0.15,0.026,56,80k-100k,"Investing and Finance, Gourmet Cooking, Software Engineering"
363,35-44,Female,Suburban,Hindi,Master,7489,382,Tablet,2.7,2.4,0.096,0.083,47,80k-100k,Eco-Friendly Living
469,25-34,Male,Urban,Spanish,PhD,8556,437,Mobile Only,3.6,3.5,0.198,0.0,85,80k-100k,"Investing and Finance, Software Engineering, Pet Care"
936,25-34,Female,Urban,Mandarin,High School,2017,168,Mobile + Desktop,3.8,5.8,0.237,0.006,64,0-20k,"Gardening, Data Science"
429,25-34,Male,Urban,Mandarin,Technical,9571,344,Desktop Only,1.5,3.2,0.022,0.086,86,0-20k,"Fitness and Wellness, Eco-Friendly Living, Gourmet Cooking"
8,55-64,Male,Suburban,Hindi,PhD,3343,272,Desktop Only,2.7,1.9,0.128,0.032,35,40k-60k,"Music Production, Photography, Gaming, Travel and Adventure"
156,25-34,Female,Suburban,Hindi,Technical,2361,455,Mobile + Desktop,1.6,5.0,0.119,0.083,109,100k+,"Reading and Literature, Pet Care"
542,45-54,Male,Urban,Spanish,Technical,8095,128,Tablet,1.2,2.0,0.208,0.009,46,40k-60k,"Reading and Literature, Music Production, Fitness and Wellness, Investing and Finance"
441,18-24,Female,Urban,Hindi,PhD,3875,374,Desktop Only,2.9,1.3,0.154,0.048,36,20k-40k,Photography
483,35-44,Female,Urban,Hindi,Bachelor,315,264,Desktop Only,1.2,1.8,0.114,0.052,50,0-20k,"Pet Care, Eco-Friendly Living, Travel and Adventure, Investing and Finance"
423,18-24,Female,Rural,Hindi,Technical,5168,353,Mobile Only,0.6,3.6,0.078,0.065,119,80k-100k,"Pet Care, Investing and Finance, Eco-Friendly Living, Reading and Literature"
779,45-54,Female,Urban,Mandarin,Bachelor,167,163,Mobile + Desktop,0.9,5.9,0.235,0.019,30,80k-100k,"Gardening, Reading and Literature"
950,35-44,Male,Rural,Hindi,Bachelor,8033,485,Mobile + Desktop,3.1,1.2,0.142,0.003,55,40k-60k,"Fitness and Wellness, Gaming, Gourmet Cooking"
335,18-24,Male,Rural,Spanish,PhD,3755,393,Tablet,2.1,4.9,0.123,0.043,91,20k-40k,DIY Crafts
577,18-24,Male,Suburban,Spanish,High School,160,26,Mobile + Desktop,1.0,4.1,0.127,0.002,152,80k-100k,"Data Science, Photography, Music Production"
935,25-34,Male,Suburban,Mandarin,Technical,331,175,Desktop Only,4.9,5.4,0.066,0.054,147,100k+,"Software Engineering, Digital Marketing"
568,35-44,Female,Suburban,Spanish,Bachelor,2016,154,Mobile + Desktop,4.1,1.9,0.207,0.021,151,60k-80k,"Fitness and Wellness, Eco-Friendly Living, Gaming"
595,55-64,Male,Urban,English,PhD,2806,268,Desktop Only,1.7,5.5,0.178,0.045,72,40k-60k,Software Engineering
531,55-64,Female,Urban,Hindi,Bachelor,7702,487,Mobile + Desktop,4.3,6.6,0.035,0.017,83,100k+,"Music Production, Gardening"
582,65+,Female,Rural,Mandarin,Technical,5923,489,Mobile Only,1.3,5.7,0.062,0.094,43,40k-60k,Music Production
708,55-64,Female,Suburban,Mandarin,Master,595,261,Desktop Only,0.8,1.7,0.003,0.031,116,100k+,"Photography, Music Production, Travel and Adventure, Fitness and Wellness"
449,25-34,Male,Urban,Spanish,High School,8051,19,Desktop Only,4.0,6.1,0.068,0.03,140,20k-40k,Fitness and Wellness
454,55-64,Male,Suburban,English,High School,9230,455,Desktop Only,2.1,3.8,0.066,0.066,12,0-20k,Data Science
229,55-64,Female,Suburban,Spanish,PhD,5718,342,Mobile Only,3.1,4.3,0.06,0.051,34,60k-80k,"Data Science, Fitness and Wellness, Eco-Friendly Living"
353,45-54,Male,Suburban,English,Technical,5094,181,Mobile + Desktop,3.8,2.9,0.034,0.004,15,40k-60k,"Digital Marketing, Data Science, Investing and Finance"
729,25-34,Male,Suburban,Spanish,Bachelor,3005,329,Desktop Only,3.3,6.3,0.035,0.066,178,40k-60k,"Digital Marketing, Data Science, Music Production"
213,45-54,Male,Rural,Mandarin,Master,6179,53,Mobile + Desktop,5.0,7.3,0.12,0.009,79,0-20k,"Reading and Literature, Gourmet Cooking, Investing and Finance, Fitness and Wellness"
80,18-24,Female,Suburban,Hindi,High School,7180,42,Tablet,1.0,5.4,0.236,0.073,81,20k-40k,"Investing and Finance, Gaming"
149,18-24,Male,Rural,Spanish,PhD,6771,428,Desktop Only,0.8,3.8,0.062,0.043,121,0-20k,"Fitness and Wellness, Reading and Literature, Travel and Adventure"
303,35-44,Male,Suburban,English,Master,7397,387,Desktop Only,3.3,2.0,0.234,0.067,160,20k-40k,"Fashion Modelling, Pet Care"
629,18-24,Female,Rural,Hindi,High School,9097,483,Mobile Only,2.1,5.7,0.215,0.067,45,80k-100k,"Gardening, Data Science"
778,45-54,Male,Suburban,English,High School,5655,233,Mobile Only,4.6,1.6,0.16,0.005,10,0-20k,"Reading and Literature, Software Engineering"
507,55-64,Male,Rural,Mandarin,Master,6901,175,Tablet,4.4,2.2,0.108,0.081,16,80k-100k,"Photography, Eco-Friendly Living, Reading and Literature"
343,25-34,Female,Suburban,Hindi,PhD,6791,242,Desktop Only,3.9,4.8,0.116,0.079,155,80k-100k,"Digital Marketing, Fashion Modelling, DIY Crafts, Gourmet Cooking"
486,55-64,Male,Urban,Mandarin,Master,7550,91,Desktop Only,3.0,6.9,0.18,0.018,133,40k-60k,"Travel and Adventure, Gardening, Pet Care"
712,35-44,Male,Suburban,Spanish,Technical,2220,174,Mobile Only,4.7,6.1,0.08,0.022,34,80k-100k,"Gardening, Digital Marketing, Travel and Adventure, DIY Crafts"
134,25-34,Male,Urban,Mandarin,High School,8990,345,Mobile + Desktop,2.1,4.4,0.156,0.025,87,0-20k,"Data Science, Gaming, Photography"
704,18-24,Female,Urban,Mandarin,Technical,8877,223,Mobile + Desktop,2.7,2.6,0.241,0.01,57,60k-80k,"Fashion Modelling, Data Science"
312,18-24,Female,Urban,Mandarin,High School,7199,228,Mobile Only,1.7,7.1,0.143,0.058,95,60k-80k,Software Engineering
723,18-24,Male,Urban,Spanish,Technical,6350,383,Tablet,1.0,7.9,0.228,0.007,120,20k-40k,"Fitness and Wellness, Software Engineering"
630,25-34,Female,Suburban,Mandarin,Master,7898,31,Mobile Only,2.9,3.2,0.117,0.089,117,100k+,Pet Care
1,25-34,Female,Suburban,Hindi,Technical,5640,190,Mobile Only,4.5,1.7,0.193,0.067,25,20k-40k,Digital Marketing
317,35-44,Male,Rural,Spanish,PhD,4339,321,Tablet,0.8,7.0,0.135,0.015,58,80k-100k,"Investing and Finance, Fashion Modelling"
707,25-34,Female,Rural,English,Bachelor,2421,344,Tablet,0.5,6.2,0.064,0.085,25,100k+,Gourmet Cooking
548,45-54,Male,Urban,Mandarin,PhD,6668,188,Desktop Only,4.5,2.2,0.089,0.087,50,0-20k,"Gaming, Eco-Friendly Living"
873,45-54,Female,Suburban,Spanish,Technical,965,56,Mobile + Desktop,4.0,2.9,0.21,0.045,138,60k-80k,"Gourmet Cooking, Investing and Finance, Fashion Modelling, Reading and Literature"
533,65+,Male,Urban,Mandarin,Technical,6203,131,Mobile + Desktop,1.7,1.0,0.206,0.078,179,20k-40k,"Eco-Friendly Living, Investing and Finance"
478,35-44,Male,Suburban,Mandarin,High School,3025,47,Desktop Only,2.5,7.2,0.248,0.017,38,20k-40k,"Gardening, Fashion Modelling, Software Engineering"
405,25-34,Female,Urban,Spanish,Technical,546,213,Tablet,4.7,5.4,0.22,0.083,11,20k-40k,"Pet Care, Gardening, Photography"
173,35-44,Female,Urban,English,PhD,5114,488,Desktop Only,2.4,5.3,0.16,0.049,10,40k-60k,"Travel and Adventure, Fitness and Wellness, Photography, Digital Marketing"
126,35-44,Female,Suburban,English,Master,4758,358,Mobile + Desktop,0.6,6.6,0.2,0.054,157,60k-80k,"Gardening, Pet Care, Fitness and Wellness"
395,25-34,Male,Suburban,Spanish,Technical,2356,90,Desktop Only,2.0,6.1,0.141,0.063,17,60k-80k,"Pet Care, Gourmet Cooking, Eco-Friendly Living, Investing and Finance"
